Identification Number,First Name,Last Name,Email,Department,Position
42564890123,Sophia,Smith,s.smith@example.com,Administrative Department,Instructor
10567213489,Liam,Johnson,l.johnson@example.com,Academic Department,Instructor
21793458612,Olivia,Williams,o.williams@example.com,Administrative Department,Instructor
31487592063,Noah,Brown,n.brown@example.com,Academic Department,Instructor
53724180986,Emma,Jones,e.jones@example.com,Administrative Department,Registrar
22659837014,William,Garcia,w.garcia@example.com,Academic Department,Instructor
91234675820,Ava,Martinez,a.martinez@example.com,Academic Department,Instructor
71054329876,Isabella,Robinson,i.robinson@example.com,Academic Department,Instructor
84620973152,James,Clark,j.clark@example.com,Administrative Department,Registrar
20359841675,Sophia,Rodriguez,s.rodriguez@example.com,Academic Department,Instructor
62039587142,Benjamin,Lewis,b.lewis@example.com,"Operations and Facilities	",Security Personnel
73519628407,Olivia,Lee,o.lee@example.com,Academic Department,Instructor
48917326502,Mia,Walker,m.walker@example.com,Administrative Department,Librarian
95187263408,Ethan,Hall,e.hall@example.com,Academic Department,Instructor
32098476512,Charlotte,Allen,c.allen@example.com,Academic Department,Instructor
75420961385,William,Young,w.young@example.com,"Operations and Facilities	","	Facility Staff"
12498573602,Amelia,Hernandez,a.hernandez@example.com,Academic Department,Instructor
63047281954,Daniel,King,d.king@example.com,"	Technology Department","	IT Administrator"
97205318624,Sophia,Wright,s.wright@example.com,Academic Department,Instructor
24608391572,Harper,Lopez,h.lopez@example.com,Administrative Department,Dean
18745203698,Matthew,Hill,m.hill@example.com,Academic Department,Instructor
53041728965,Mia,Scott,m.scott@example.com,Academic Department,Instructor
39201468725,Alexander,Green,a.green@example.com,"Operations and Facilities	","	Facility Staff"
81954762301,Evelyn,Adams,e.adams@example.com,Administrative Department,Accountant
64093185742,Mason,Baker,m.baker@example.com,Academic Department,Instructor
75306248129,Charlotte,Gonzalez,c.gonzalez@example.com,Administrative Department,Registrar
62547831906,Jacob,Nelson,j.nelson@example.com,Academic Department,Instructor
39821750642,Olivia,Carter,o.carter@example.com,Academic Department,Instructor
53091742658,William,Mitchell,w.mitchell@example.com,Academic Department,Instructor
17369428502,Ava,Perez,a.perez@example.com,Administrative Department,"	Accountant"
